nameFirst,nameLast,tname
Bill,Craver,Baltimore Canaries
Everett,Mills,Baltimore Canaries
Cal,McVey,Baltimore Canaries
Tom,Carey,Baltimore Canaries
Warren,White,Baltimore Canaries
Bill,Smith,Baltimore Marylands
Henry,Myers,Baltimore Orioles
Billy,Barnie,Baltimore Orioles
Wilbert,Robinson,Baltimore Orioles
George,Van Haltren,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
John,McGraw,Baltimore Orioles
Otto,Knabe,Baltimore Terrapins
Jimmy,Collins,Boston Americans
Chick,Stahl,Boston Americans
Cy,Young,Boston Americans
Bob,Unglaub,Boston Americans
Deacon,McGuire,Boston Americans
Jack,Burdock,Boston Beaneaters
John,Morrill,Boston Beaneaters
King,Kelly,Boston Beaneaters
Fred,Tenney,Boston Beaneaters
Johnny,Kling,Boston Braves
Dave,Bancroft,Boston Braves
Rogers,Hornsby,Boston Braves
Tommy,Holmes,Boston Braves
Fred,Tenney,Boston Doves
Joe,Kelley,Boston Doves
Frank,Bowerman,Boston Doves
Harry,Smith,Boston Doves
Fred,Lake,Boston Doves
Harry,Wright,Boston Red Caps
John,Morrill,Boston Red Caps
Bill,Carrigan,Boston Red Sox
Deacon,McGuire,Boston Red Sox
Joe,Cronin,Boston Red Sox
Jake,Stahl,Boston Red Sox
Marty,McManus,Boston Red Sox
Jack,Barry,Boston Red Sox
Lou,Boudreau,Boston Red Sox
Harry,Wright,Boston Red Stockings
Tim,Murnane,Boston Reds
Arthur,Irwin,Boston Reds
King,Kelly,Boston Reds
Fred,Tenney,Boston Rustlers
Bob,Ferguson,Brooklyn Atlantics
Charlie,Pabor,Brooklyn Atlantics
Bill,Boyd,Brooklyn Atlantics
Dave,Foutz,Brooklyn Bridegrooms
Mike,Griffin,Brooklyn Bridegrooms
Leo,Durocher,Brooklyn Dodgers
Bill,Dahlen,Brooklyn Dodgers
Jim,Clinton,Brooklyn Eckfords
Jimmy,Wood,Brooklyn Eckfords
John,Ward,Brooklyn Grooms
Dave,Foutz,Brooklyn Grooms
Harry,Lumley,Brooklyn Superbas
Bill,Dahlen,Brooklyn Superbas
Patsy,Donovan,Brooklyn Superbas
Bill,Bradley,Brooklyn Tip-Tops
Lee,Magee,Brooklyn Tip-Tops
John,Ward,Brooklyn Ward's Wonders
Sam,Crane,Buffalo Bisons
Jim,O'Rourke,Buffalo Bisons
John,Clapp,Buffalo Bisons
Jack,Rowe,Buffalo Bisons
Jay,Faatz,Buffalo Bisons
Pud,Galvin,Buffalo Bisons
Walter,Blair,Buffalo Blues
Harry,Lord,Buffalo Blues
Larry,Schlafly,Buffalo Buffeds
