nameFirst,nameLast,tname
Tom,Carey,Baltimore Canaries
Warren,White,Baltimore Canaries
Bill,Craver,Baltimore Canaries
Everett,Mills,Baltimore Canaries
Cal,McVey,Baltimore Canaries
Bill,Smith,Baltimore Marylands
George,Van Haltren,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
Henry,Myers,Baltimore Orioles
Billy,Barnie,Baltimore Orioles
Wilbert,Robinson,Baltimore Orioles
John,McGraw,Baltimore Orioles
Otto,Knabe,Baltimore Terrapins
Jimmy,Collins,Boston Americans
Bob,Unglaub,Boston Americans
Deacon,McGuire,Boston Americans
Jake,Stahl,Boston Americans
Chick,Stahl,Boston Americans
Cy,Young,Boston Americans
Bill,Carrigan,Boston Americans
Jack,Barry,Boston Americans
Marty,McManus,Boston Americans
Lou,Boudreau,Boston Americans
Joe,Cronin,Boston Americans
Harry,Wright,Boston Beaneaters
Jack,Burdock,Boston Beaneaters
King,Kelly,Boston Beaneaters
John,Morrill,Boston Beaneaters
Harry,Smith,Boston Beaneaters
Fred,Tenney,Boston Beaneaters
Joe,Kelley,Boston Beaneaters
Frank,Bowerman,Boston Beaneaters
Fred,Lake,Boston Beaneaters
Rogers,Hornsby,Boston Beaneaters
Dave,Bancroft,Boston Beaneaters
Johnny,Kling,Boston Beaneaters
Tommy,Holmes,Boston Beaneaters
John,Morrill,Boston Bees
Harry,Wright,Boston Bees
Jack,Burdock,Boston Bees
King,Kelly,Boston Bees
Harry,Smith,Boston Bees
Fred,Tenney,Boston Bees
Joe,Kelley,Boston Bees
Frank,Bowerman,Boston Bees
Fred,Lake,Boston Bees
Rogers,Hornsby,Boston Bees
Dave,Bancroft,Boston Bees
Johnny,Kling,Boston Bees
Tommy,Holmes,Boston Bees
John,Morrill,Boston Braves
Harry,Wright,Boston Braves
Jack,Burdock,Boston Braves
King,Kelly,Boston Braves
Harry,Smith,Boston Braves
Fred,Tenney,Boston Braves
Joe,Kelley,Boston Braves
Frank,Bowerman,Boston Braves
Fred,Lake,Boston Braves
Rogers,Hornsby,Boston Braves
Dave,Bancroft,Boston Braves
Johnny,Kling,Boston Braves
Tommy,Holmes,Boston Braves
John,Morrill,Boston Doves
Harry,Wright,Boston Doves
Jack,Burdock,Boston Doves
King,Kelly,Boston Doves
Harry,Smith,Boston Doves
Fred,Tenney,Boston Doves
Joe,Kelley,Boston Doves
Frank,Bowerman,Boston Doves
Fred,Lake,Boston Doves
Rogers,Hornsby,Boston Doves
Dave,Bancroft,Boston Doves
Johnny,Kling,Boston Doves
Tommy,Holmes,Boston Doves
Jack,Burdock,Boston Red Caps
King,Kelly,Boston Red Caps
John,Morrill,Boston Red Caps
Harry,Wright,Boston Red Caps
Fred,Tenney,Boston Red Caps
Joe,Kelley,Boston Red Caps
Frank,Bowerman,Boston Red Caps
Fred,Lake,Boston Red Caps
Harry,Smith,Boston Red Caps
Rogers,Hornsby,Boston Red Caps
