nameFirst,nameLast,tname
Tom,Carey,Baltimore Canaries
Bill,Craver,Baltimore Canaries
Cal,McVey,Baltimore Canaries
Everett,Mills,Baltimore Canaries
Warren,White,Baltimore Canaries
Bill,Smith,Baltimore Marylands
Billy,Barnie,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
John,McGraw,Baltimore Orioles
Henry,Myers,Baltimore Orioles
Wilbert,Robinson,Baltimore Orioles
George,Van Haltren,Baltimore Orioles
Otto,Knabe,Baltimore Terrapins
Jack,Barry,Boston Americans
Lou,Boudreau,Boston Americans
Bill,Carrigan,Boston Americans
Jimmy,Collins,Boston Americans
Joe,Cronin,Boston Americans
Deacon,McGuire,Boston Americans
Marty,McManus,Boston Americans
Chick,Stahl,Boston Americans
Jake,Stahl,Boston Americans
Bob,Unglaub,Boston Americans
Cy,Young,Boston Americans
Dave,Bancroft,Boston Beaneaters
Frank,Bowerman,Boston Beaneaters
Jack,Burdock,Boston Beaneaters
Tommy,Holmes,Boston Beaneaters
Rogers,Hornsby,Boston Beaneaters
Joe,Kelley,Boston Beaneaters
King,Kelly,Boston Beaneaters
Johnny,Kling,Boston Beaneaters
Fred,Lake,Boston Beaneaters
John,Morrill,Boston Beaneaters
Harry,Smith,Boston Beaneaters
Fred,Tenney,Boston Beaneaters
Harry,Wright,Boston Beaneaters
Dave,Bancroft,Boston Bees
Frank,Bowerman,Boston Bees
Jack,Burdock,Boston Bees
Tommy,Holmes,Boston Bees
Rogers,Hornsby,Boston Bees
Joe,Kelley,Boston Bees
King,Kelly,Boston Bees
Johnny,Kling,Boston Bees
Fred,Lake,Boston Bees
John,Morrill,Boston Bees
Harry,Smith,Boston Bees
Fred,Tenney,Boston Bees
Harry,Wright,Boston Bees
Dave,Bancroft,Boston Braves
Frank,Bowerman,Boston Braves
Jack,Burdock,Boston Braves
Tommy,Holmes,Boston Braves
Rogers,Hornsby,Boston Braves
Joe,Kelley,Boston Braves
King,Kelly,Boston Braves
Johnny,Kling,Boston Braves
Fred,Lake,Boston Braves
John,Morrill,Boston Braves
Harry,Smith,Boston Braves
Fred,Tenney,Boston Braves
Harry,Wright,Boston Braves
Dave,Bancroft,Boston Doves
Frank,Bowerman,Boston Doves
Jack,Burdock,Boston Doves
Tommy,Holmes,Boston Doves
Rogers,Hornsby,Boston Doves
Joe,Kelley,Boston Doves
King,Kelly,Boston Doves
Johnny,Kling,Boston Doves
Fred,Lake,Boston Doves
John,Morrill,Boston Doves
Harry,Smith,Boston Doves
Fred,Tenney,Boston Doves
Harry,Wright,Boston Doves
Dave,Bancroft,Boston Red Caps
Frank,Bowerman,Boston Red Caps
Jack,Burdock,Boston Red Caps
Tommy,Holmes,Boston Red Caps
Rogers,Hornsby,Boston Red Caps
Joe,Kelley,Boston Red Caps
King,Kelly,Boston Red Caps
Johnny,Kling,Boston Red Caps
Fred,Lake,Boston Red Caps
John,Morrill,Boston Red Caps
Harry,Smith,Boston Red Caps
Fred,Tenney,Boston Red Caps
Harry,Wright,Boston Red Caps
Jack,Barry,Boston Red Sox
Lou,Boudreau,Boston Red Sox
Bill,Carrigan,Boston Red Sox
Jimmy,Collins,Boston Red Sox
Joe,Cronin,Boston Red Sox
Deacon,McGuire,Boston Red Sox
Marty,McManus,Boston Red Sox
Chick,Stahl,Boston Red Sox
Jake,Stahl,Boston Red Sox
Bob,Unglaub,Boston Red Sox
Cy,Young,Boston Red Sox
Harry,Wright,Boston Red Stockings
Arthur,Irwin,Boston Reds
King,Kelly,Boston Reds
Tim,Murnane,Boston Reds
Dave,Bancroft,Boston Rustlers
Frank,Bowerman,Boston Rustlers
Jack,Burdock,Boston Rustlers
Tommy,Holmes,Boston Rustlers
Rogers,Hornsby,Boston Rustlers
Joe,Kelley,Boston Rustlers
King,Kelly,Boston Rustlers
Johnny,Kling,Boston Rustlers
Fred,Lake,Boston Rustlers
John,Morrill,Boston Rustlers
Harry,Smith,Boston Rustlers
Fred,Tenney,Boston Rustlers
Harry,Wright,Boston Rustlers
Bill,Boyd,Brooklyn Atlantics
Bob,Ferguson,Brooklyn Atlantics
Charlie,Pabor,Brooklyn Atlantics
Bill,Dahlen,Brooklyn Bridegrooms
Patsy,Donovan,Brooklyn Bridegrooms
Leo,Durocher,Brooklyn Bridegrooms
Dave,Foutz,Brooklyn Bridegrooms
Mike,Griffin,Brooklyn Bridegrooms
Harry,Lumley,Brooklyn Bridegrooms
John,Ward,Brooklyn Bridegrooms
Bill,Dahlen,Brooklyn Dodgers
Patsy,Donovan,Brooklyn Dodgers
Leo,Durocher,Brooklyn Dodgers
Dave,Foutz,Brooklyn Dodgers
Mike,Griffin,Brooklyn Dodgers
Harry,Lumley,Brooklyn Dodgers
John,Ward,Brooklyn Dodgers
Jim,Clinton,Brooklyn Eckfords
Jimmy,Wood,Brooklyn Eckfords
Bill,Dahlen,Brooklyn Grooms
Patsy,Donovan,Brooklyn Grooms
Leo,Durocher,Brooklyn Grooms
Dave,Foutz,Brooklyn Grooms
Mike,Griffin,Brooklyn Grooms
Harry,Lumley,Brooklyn Grooms
John,Ward,Brooklyn Grooms
Bill,Dahlen,Brooklyn Robins
Patsy,Donovan,Brooklyn Robins
Leo,Durocher,Brooklyn Robins
Dave,Foutz,Brooklyn Robins
Mike,Griffin,Brooklyn Robins
Harry,Lumley,Brooklyn Robins
John,Ward,Brooklyn Robins
Bill,Dahlen,Brooklyn Superbas
Patsy,Donovan,Brooklyn Superbas
Leo,Durocher,Brooklyn Superbas
Dave,Foutz,Brooklyn Superbas
Mike,Griffin,Brooklyn Superbas
Harry,Lumley,Brooklyn Superbas
John,Ward,Brooklyn Superbas
Bill,Bradley,Brooklyn Tip-Tops
Lee,Magee,Brooklyn Tip-Tops
John,Ward,Brooklyn Ward's Wonders
John,Clapp,Buffalo Bisons
Sam,Crane,Buffalo Bisons
Jay,Faatz,Buffalo Bisons
Pud,Galvin,Buffalo Bisons
Jim,O'Rourke,Buffalo Bisons
Jack,Rowe,Buffalo Bisons
Walter,Blair,Buffalo Blues
Harry,Lord,Buffalo Blues
Larry,Schlafly,Buffalo Blues
Walter,Blair,Buffalo Buffeds
Harry,Lord,Buffalo Buffeds
Larry,Schlafly,Buffalo Buffeds
Joe,Tinker,Chicago Chi-Feds
Cap,Anson,Chicago Colts
Roger,Bresnahan,Chicago Colts
Phil,Cavarretta,Chicago Colts
Frank,Chance,Chicago Colts
Johnny,Evers,Chicago Colts
Bob,Ferguson,Chicago Colts
Silver,Flint,Chicago Colts
Charlie,Grimm,Chicago Colts
Gabby,Hartnett,Chicago Colts
Rogers,Hornsby,Chicago Colts
Bill,Killefer,Chicago Colts
Rabbit,Maranville,Chicago Colts
Al,Spalding,Chicago Colts
El,Tappe,Chicago Colts
Joe,Tinker,Chicago Colts
Cap,Anson,Chicago Cubs
Roger,Bresnahan,Chicago Cubs
Phil,Cavarretta,Chicago Cubs
Frank,Chance,Chicago Cubs
Johnny,Evers,Chicago Cubs
Bob,Ferguson,Chicago Cubs
Silver,Flint,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Gabby,Hartnett,Chicago Cubs
Rogers,Hornsby,Chicago Cubs
Bill,Killefer,Chicago Cubs
Rabbit,Maranville,Chicago Cubs
Al,Spalding,Chicago Cubs
El,Tappe,Chicago Cubs
Joe,Tinker,Chicago Cubs
Cap,Anson,Chicago Orphans
Roger,Bresnahan,Chicago Orphans
Phil,Cavarretta,Chicago Orphans
Frank,Chance,Chicago Orphans
Johnny,Evers,Chicago Orphans
Bob,Ferguson,Chicago Orphans
Silver,Flint,Chicago Orphans
Charlie,Grimm,Chicago Orphans
Gabby,Hartnett,Chicago Orphans
Rogers,Hornsby,Chicago Orphans
Bill,Killefer,Chicago Orphans
Rabbit,Maranville,Chicago Orphans
Al,Spalding,Chicago Orphans
El,Tappe,Chicago Orphans
Joe,Tinker,Chicago Orphans
Charlie,Comiskey,Chicago Pirates
Joe,Tinker,Chicago Whales
Lena,Blackburne,Chicago White Sox
Jimmy,Callahan,Chicago White Sox
Eddie,Collins,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Clark,Griffith,Chicago White Sox
Fielder,Jones,Chicago White Sox
Don,Kessinger,Chicago White Sox
Ted,Lyons,Chicago White Sox
Ray,Schalk,Chicago White Sox
Billy,Sullivan,Chicago White Sox
Cap,Anson,Chicago White Stockings
Roger,Bresnahan,Chicago White Stockings
