teamID,name,yearID,W,L,MaxSalary
ATL,Atlanta Braves,1985,66,96,1625000
ATL,Atlanta Braves,1986,72,89,1825000
ATL,Atlanta Braves,1987,69,92,1925000
ATL,Atlanta Braves,1988,54,106,2000000
ATL,Atlanta Braves,1989,63,97,2000000
ATL,Atlanta Braves,1990,65,97,2000000
ATL,Atlanta Braves,1991,94,68,2100000
BAL,Baltimore Orioles,1985,83,78,1472819
BAL,Baltimore Orioles,1986,73,89,1190000
BAL,Baltimore Orioles,1987,67,95,2044757
BAL,Baltimore Orioles,1988,54,107,2142904
BAL,Baltimore Orioles,1989,87,75,2466667
BAL,Baltimore Orioles,1990,76,85,1316667
BOS,Boston Red Sox,1985,81,81,1075000
BOS,Boston Red Sox,1986,95,66,1984423
BOS,Boston Red Sox,1987,78,84,2110000
BOS,Boston Red Sox,1988,89,73,2214865
BOS,Boston Red Sox,1989,83,79,2354748
BOS,Boston Red Sox,1990,88,74,2600000
CAL,California Angels,1985,90,72,1100000
CAL,California Angels,1986,92,70,1200000
CAL,California Angels,1987,75,87,1133333
CAL,California Angels,1988,75,87,1400000
CAL,California Angels,1989,91,71,1475000
CAL,California Angels,1990,80,82,1916667
CHA,Chicago White Sox,1985,85,77,1242333
CHA,Chicago White Sox,1986,72,90,1132652
CHA,Chicago White Sox,1987,77,85,1250000
CHA,Chicago White Sox,1988,71,90,1000000
CHA,Chicago White Sox,1989,69,92,1200000
CHA,Chicago White Sox,1990,94,68,1750000
CHN,Chicago Cubs,1985,77,84,1450000
CHN,Chicago Cubs,1986,70,90,1530000
CHN,Chicago Cubs,1987,76,85,1800000
CHN,Chicago Cubs,1988,77,85,2070000
CHN,Chicago Cubs,1989,93,69,2340000
CHN,Chicago Cubs,1990,77,85,2100000
CIN,Cincinnati Reds,1985,89,72,1071429
CIN,Cincinnati Reds,1986,86,76,1150000
CIN,Cincinnati Reds,1987,84,78,1200000
CIN,Cincinnati Reds,1988,87,74,1200000
CIN,Cincinnati Reds,1989,75,87,1515000
CIN,Cincinnati Reds,1990,91,71,2125000
CLE,Cleveland Indians,1985,60,102,1100000
CLE,Cleveland Indians,1986,84,78,1100000
CLE,Cleveland Indians,1987,61,101,1100000
CLE,Cleveland Indians,1988,78,84,1100000
CLE,Cleveland Indians,1989,73,89,1630000
CLE,Cleveland Indians,1990,77,85,1750000
CLE,Cleveland Indians,1991,57,105,2500000
CLE,Cleveland Indians,1992,76,86,950000
CLE,Cleveland Indians,1993,76,86,1700000
