teamID,name,yearID,rank
CIN,Cincinnati Reds,2004,4
CIN,Cincinnati Reds,2003,5
CIN,Cincinnati Reds,2002,3
CIN,Cincinnati Reds,2001,5
CIN,Cincinnati Reds,2000,2
CIN,Cincinnati Reds,1999,2
CIN,Cincinnati Reds,1998,4
CIN,Cincinnati Reds,1997,3
CIN,Cincinnati Reds,1996,3
CIN,Cincinnati Reds,1995,1
CIN,Cincinnati Reds,1994,1
CIN,Cincinnati Reds,1993,5
CIN,Cincinnati Reds,1992,2
CIN,Cincinnati Reds,1991,5
CIN,Cincinnati Reds,1990,1
CIN,Cincinnati Reds,1989,5
CIN,Cincinnati Reds,1988,2
CIN,Cincinnati Reds,1987,2
CIN,Cincinnati Reds,1986,2
