playerID,nameFirst,nameLast
zimmedo01,Don,Zimmer
willima04,Matt,Williams
williji03,Jimy,Williams
wedgeer01,Eric,Wedge
weaveea99,Earl,Weaver
virdobi01,Bill,Virdon
tracyji01,Jim,Tracy
torrejo01,Joe,Torre
torboje01,Jeff,Torborg
stengca01,Casey,Stengel
southbi01,Billy,Southworth
showabu99,Buck,Showalter
sciosmi01,Mike,Scioscia
rodgebu01,Buck,Rodgers
robinfr02,Frank,Robinson
pinielo01,Lou,Piniella
penato01,Tony,Pena
oatesjo01,Johnny,Oates
murtada01,Danny,Murtaugh
melvibo01,Bob,Melvin
mcnamjo99,John,McNamara
mckeoja99,Jack,McKeon
mckecbi01,Bill,McKechnie
mccarjo99,Joe,McCarthy
manueje01,Jerry,Manuel
maddojo99,Joe,Maddon
leylaji99,Jim,Leyland
lasorto01,Tom,Lasorda
larusto01,Tony,LaRussa
lanieha01,Hal,Lanier
kellyto01,Tom,Kelly
johnsda02,Davey,Johnson
hurdlcl01,Clint,Hurdle
herzowh01,Whitey,Herzog
guilloz01,Ozzie,Guillen
girarjo01,Joe,Girardi
gibsoki01,Kirk,Gibson
gardero01,Ron,Gardenhire
freyji99,Jim,Frey
francte01,Terry,Francona
durocle01,Leo,Durocher
coxbo01,Bobby,Cox
bowala01,Larry,Bowa
bochybr01,Bruce,Bochy
blackbu02,Buddy,Black
baylodo01,Don,Baylor
bakerdu01,Dusty,Baker
andersp01,Sparky,Anderson
alstowa01,Walter,Alston
aloufe01,Felipe,Alou
