playerID,nameFirst,nameLast,teamID
abbotky01,Kyle,Abbott,PHI
abreubo01,Bobby,Abreu,PHI
adamsmi03,Mike,Adams,PHI
adamste01,Terry,Adams,PHI
aguaylu01,Luis,Aguayo,PHI
akerfda01,Darrel,Akerfelds,PHI
aldresc01,Scott,Aldred,PHI
alfonan01,Antonio,Alfonseca,PHI
almonbi01,Bill,Almon,PHI
altheaa01,Aaron,Altherr,PHI
amaroru02,Ruben,Amaro,PHI
anderla02,Larry,Andersen,PHI
anderma02,Marlon,Anderson,PHI
ariasal01,Alex,Arias,PHI
ascheco01,Cody,Asche,PHI
ashbyan01,Andy,Ashby,PHI
aumonph01,Phillippe,Aumont,PHI
ayraubo01,Bob,Ayrault,PHI
backmwa01,Wally,Backman,PHI
baezda01,Danys,Baez,PHI
barajro01,Rod,Barajas,PHI
barroto01,Tony,Barron,PHI
bastaan01,Antonio,Bastardo,PHI
batiski01,Kim,Batiste,PHI
bedrost01,Steve,Bedrosian,PHI
beechma01,Matt,Beech,PHI
bellda01,David,Bell,PHI
bellju01,Juan,Bell,PHI
benjami01,Mike,Benjamin,PHI
bennega01,Gary,Bennett,PHI
billich01,Chad,Billingsley,PHI
bisenjo01,Joe,Bisenius,PHI
blancan01,Andres,Blanco,PHI
blantjo01,Joe,Blanton,PHI
blaziro01,Ron,Blazier,PHI
bococbr01,Brian,Bocock,PHI
boevejo01,Joe,Boever,PHI
bookech01,Chris,Booker,PHI
bookero01,Rod,Booker,PHI
borlato02,Toby,Borland,PHI
bottari01,Ricky,Bottalico,PHI
bourjpe01,Peter,Bourjos,PHI
bournmi01,Michael,Bourn,PHI
boydja02,Jason,Boyd,PHI
bradlph01,Phil,Bradley,PHI
brantje01,Jeff,Brantley,PHI
brewebi01,Billy,Brewer,PHI
brockch01,Chris,Brock,PHI
brognri01,Rico,Brogna,PHI
browndo01,Domonic,Brown,PHI
brunter01,Eric,Bruntlett,PHI
buchada01,David,Buchanan,PHI
buddery01,Ryan,Budde,PHI
bulliji01,Jim,Bullinger,PHI
burneaj01,A. J.,Burnett,PHI
burrepa01,Pat,Burrell,PHI
burriem01,Emmanuel,Burriss,PHI
byrdma01,Marlon,Byrd,PHI
byrdpa01,Paul,Byrd,PHI
cairomi01,Miguel,Cairo,PHI
calhoje01,Jeff,Calhoun,PHI
campusi01,Sil,Campusano,PHI
carltst01,Steve,Carlton,PHI
carmado01,Don,Carman,PHI
carmofa01,Roberto,Hernandez,PHI
carpean01,Drew,Carpenter,PHI
castrju01,Juan,Castro,PHI
chambwe01,Wes,Chamberlain,PHI
charlno01,Norm,Charlton,PHI
chenbr01,Bruce,Chen,PHI
coggida01,Dave,Coggin,PHI
combspa01,Pat,Combs,PHI
condrcl01,Clay,Condrey,PHI
contrjo01,Jose,Contreras,PHI
cookde01,Dennis,Cook,PHI
corcoti01,Tim,Corcoran,PHI
cormirh01,Rheal,Cormier,PHI
costech01,Chris,Coste,PHI
coxda01,Danny,Cox,PHI
daalom01,Omar,Daal,PHI
daultda01,Darren,Daulton,PHI
defraju01,Justin,De Fratus,PHI
dejesjo01,Jose,de Jesus,PHI
deleojo01,Jose,DeLeon,PHI
delluda01,David,Dellucci,PHI
dennyjo01,John,Denny,PHI
dernibo01,Bob,Dernier,PHI
diazbo01,Bo,Diaz,PHI
diekmja01,Jake,Diekman,PHI
dobbsgr01,Greg,Dobbs,PHI
dosteda01,David,Doster,PHI
duceyro01,Rob,Ducey,PHI
duckwbr01,Brandon,Duckworth,PHI
duncama01,Mariano,Duncan,PHI
durbich01,Chad,Durbin,PHI
dykstle01,Lenny,Dykstra,PHI
easlemi01,Mike,Easler,PHI
eatonad01,Adam,Eaton,PHI
eickhje01,Jerad,Eickhoff,PHI
eisenji01,Jim,Eisenreich,PHI
elsteke01,Kevin,Elster,PHI
estalbo02,Bobby,Estalella,PHI
eyresc01,Scott,Eyre,PHI
fasansa01,Sal,Fasano,PHI
felizpe01,Pedro,Feliz,PHI
fernasi01,Sid,Fernandez,PHI
floydga01,Gavin,Floyd,PHI
foleyto02,Tom,Foley,PHI
fordcu01,Curt,Ford,PHI
fosteke01,Kevin,Foster,PHI
francbe01,Ben,Francisco,PHI
francje02,Jeff,Francoeur,PHI
francma02,Maikel,Franco,PHI
frandke01,Kevin,Frandsen,PHI
frankry01,Ryan,Franklin,PHI
freemma02,Marvin,Freeman,PHI
frohwto01,Todd,Frohwirth,PHI
fultzaa01,Aaron,Fultz,PHI
gallada01,Dave,Gallagher,PHI
galvifr01,Freddy,Galvis,PHI
gantro01,Ron,Gant,PHI
garcifr02,Freddy,Garcia,PHI
garcilu03,Luis,Garcia,PHI
gearyge01,Geoff,Geary,PHI
gileske01,Ken,Giles,PHI
glanvdo01,Doug,Glanville,PHI
gloadro01,Ross,Gload,PHI
goeddty01,Tyler,Goeddel,PHI
gomeswa01,Wayne,Gomes,PHI
gomezje01,Jeanmar,Gomez,PHI
gonzaal01,Alex,Gonzalez,PHI
gonzami05,Miguel,Gonzalez,PHI
gordoto01,Tom,Gordon,PHI
gracemi02,Mike,Grace,PHI
grahejo01,Joe,Grahe,PHI
greento01,Tommy,Greene,PHI
greenty01,Tyler,Green,PHI
grimsja01,Jason,Grimsley,PHI
grossgr01,Greg,Gross,PHI
grosske01,Kevin,Gross,PHI
gwynnto02,Tony,Gwynn,PHI
hallaro01,Roy,Halladay,PHI
hamelco01,Cole,Hamels,PHI
happja01,J. A.,Happ,PHI
haranaa01,Aaron,Harang,PHI
harrigr01,Greg,Harris,PHI
harrima01,Matt,Harrison,PHI
harrire01,Reggie,Harris,PHI
hartlmi01,Mike,Hartley,PHI
hayesch01,Charlie,Hayes,PHI
hayesvo01,Von,Hayes,PHI
hellije01,Jeremy,Hellickson,PHI
helmswe01,Wes,Helms,PHI
hernace02,Cesar,Hernandez,PHI
hernada01,David,Hernandez,PHI
hernaro01,Roberto,Hernandez,PHI
herndda01,David,Herndon,PHI
herreod01,Odubel,Herrera,PHI
herrto01,Tom,Herr,PHI
hinojda01,Dalier,Hinojosa,PHI
