teamID,tname,yearID,rank,HR
NYA,New York Yankees,2012,1,245
BAL,Baltimore Orioles,2012,2,214
CHA,Chicago White Sox,2012,2,211
MIL,Milwaukee Brewers,2012,3,202
TEX,Texas Rangers,2012,2,200
TOR,Toronto Blue Jays,2012,4,198
OAK,Oakland Athletics,2012,1,195
WAS,Washington Nationals,2012,1,194
LAA,Los Angeles Angels of Anaheim,2012,3,187
TBA,Tampa Bay Rays,2012,3,175
CIN,Cincinnati Reds,2012,1,172
PIT,Pittsburgh Pirates,2012,4,170
COL,Colorado Rockies,2012,5,166
BOS,Boston Red Sox,2012,5,165
ARI,Arizona Diamondbacks,2012,3,165
